churn_model,scope,procedure,a,b,statistic,delta,ci_lo,ci_hi,significant,n_cells,n_operators
jump,workload mix (frozen + churning),O3 score-restricted [operator median replicate floor] vs +calib,random forest (300) [both],router (+calibration),geomean regret,-0.25418,-0.31781,-0.1962,1,512,21
jump,workload mix (frozen + churning),O3 score-restricted [operator median replicate floor] vs +calib,random forest (300) [both],router (+calibration),worst-case regret,-0.689,-1.41855,-0.12971,1,512,21
jump,workload mix (frozen + churning),O3 score-restricted [operator median replicate floor] vs +calib,random forest (300) [both],router (+calibration),accuracy,-0.00509,-0.06446,0.04962,0,512,21
jump,workload mix (frozen + churning),O3 fit-restricted [operator median replicate floor] vs steady,"random forest (300) [both, refit]",router (steady),geomean regret,-0.03932,-0.06681,-0.00936,1,512,21
jump,workload mix (frozen + churning),O3 fit-restricted [operator median replicate floor] vs steady,"random forest (300) [both, refit]",router (steady),worst-case regret,0.45344,-0.16681,1.03551,0,512,21
jump,workload mix (frozen + churning),O3 fit-restricted [operator median replicate floor] vs steady,"random forest (300) [both, refit]",router (steady),accuracy,-0.01293,-0.07525,0.04457,0,512,21
jump,workload mix (frozen + churning),O3 fit-restricted [operator median replicate floor] vs +calib,"random forest (300) [both, refit]",router (+calibration),geomean regret,-0.24717,-0.31441,-0.18813,1,512,21
jump,workload mix (frozen + churning),O3 fit-restricted [operator median replicate floor] vs +calib,"random forest (300) [both, refit]",router (+calibration),worst-case regret,-0.35909,-1.24841,0.45114,0,512,21
jump,workload mix (frozen + churning),O3 fit-restricted [operator median replicate floor] vs +calib,"random forest (300) [both, refit]",router (+calibration),accuracy,-0.01293,-0.07525,0.04457,0,512,21
jump,workload mix (frozen + churning),O3 pre-registered [operator median replicate floor] vs steady,"logistic regression [both, refit]",router (steady),geomean regret,0.07871,0.01708,0.15647,1,512,21
jump,workload mix (frozen + churning),O3 pre-registered [operator median replicate floor] vs steady,"logistic regression [both, refit]",router (steady),worst-case regret,2.51885,2.04107,3.17485,1,512,21
jump,workload mix (frozen + churning),O3 pre-registered [operator median replicate floor] vs steady,"logistic regression [both, refit]",router (steady),accuracy,-0.21271,-0.30621,-0.11905,1,512,21
jump,workload mix (frozen + churning),O3 score-restricted [operator worst replicate floor] vs steady,random forest (300) [both],router (steady),geomean regret,-0.04449,-0.07041,-0.01893,1,478,21
jump,workload mix (frozen + churning),O3 score-restricted [operator worst replicate floor] vs steady,random forest (300) [both],router (steady),worst-case regret,0.12353,-0.16681,0.51923,0,478,21
jump,workload mix (frozen + churning),O3 score-restricted [operator worst replicate floor] vs steady,random forest (300) [both],router (steady),accuracy,-0.00948,-0.07262,0.04979,0,478,21
jump,workload mix (frozen + churning),O3 score-restricted [operator worst replicate floor] vs +calib,random forest (300) [both],router (+calibration),geomean regret,-0.25103,-0.31937,-0.19132,1,478,21
jump,workload mix (frozen + churning),O3 score-restricted [operator worst replicate floor] vs +calib,random forest (300) [both],router (+calibration),worst-case regret,-0.689,-1.41855,-0.12971,1,478,21
jump,workload mix (frozen + churning),O3 score-restricted [operator worst replicate floor] vs +calib,random forest (300) [both],router (+calibration),accuracy,-0.00948,-0.07262,0.04979,0,478,21
jump,workload mix (frozen + churning),O3 fit-restricted [operator worst replicate floor] vs steady,"gradient boosting [both, refit]",router (steady),geomean regret,-0.05622,-0.08395,-0.0314,1,478,21
jump,workload mix (frozen + churning),O3 fit-restricted [operator worst replicate floor] vs steady,"gradient boosting [both, refit]",router (steady),worst-case regret,-0.33229,-0.6849,0.06311,0,478,21
jump,workload mix (frozen + churning),O3 fit-restricted [operator worst replicate floor] vs steady,"gradient boosting [both, refit]",router (steady),accuracy,0.00096,-0.07579,0.05567,0,478,21
jump,workload mix (frozen + churning),O3 fit-restricted [operator worst replicate floor] vs +calib,"gradient boosting [both, refit]",router (+calibration),geomean regret,-0.26276,-0.33553,-0.20248,1,478,21
jump,workload mix (frozen + churning),O3 fit-restricted [operator worst replicate floor] vs +calib,"gradient boosting [both, refit]",router (+calibration),worst-case regret,-1.14482,-1.51991,-0.46274,1,478,21
jump,workload mix (frozen + churning),O3 fit-restricted [operator worst replicate floor] vs +calib,"gradient boosting [both, refit]",router (+calibration),accuracy,0.00096,-0.07579,0.05567,0,478,21
jump,workload mix (frozen + churning),O3 pre-registered [operator worst replicate floor] vs steady,"logistic regression [both, refit]",router (steady),geomean regret,0.08019,0.02005,0.15704,1,478,21
jump,workload mix (frozen + churning),O3 pre-registered [operator worst replicate floor] vs steady,"logistic regression [both, refit]",router (steady),worst-case regret,2.41896,1.08097,3.17485,1,478,21
jump,workload mix (frozen + churning),O3 pre-registered [operator worst replicate floor] vs steady,"logistic regression [both, refit]",router (steady),accuracy,-0.20934,-0.31056,-0.10879,1,478,21
jump,workload mix (frozen + churning),O3 score-restricted [flat 10% parity band] vs steady,random forest (300) [both],router (steady),geomean regret,-0.04294,-0.06713,-0.01917,1,461,21
jump,workload mix (frozen + churning),O3 score-restricted [flat 10% parity band] vs steady,random forest (300) [both],router (steady),worst-case regret,0.12353,-0.16681,0.51923,0,461,21
jump,workload mix (frozen + churning),O3 score-restricted [flat 10% parity band] vs steady,random forest (300) [both],router (steady),accuracy,-0.02245,-0.0812,0.03234,0,461,21
jump,workload mix (frozen + churning),O3 score-restricted [flat 10% parity band] vs +calib,random forest (300) [both],router (+calibration),geomean regret,-0.25577,-0.33174,-0.19082,1,461,21
jump,workload mix (frozen + churning),O3 score-restricted [flat 10% parity band] vs +calib,random forest (300) [both],router (+calibration),worst-case regret,-0.68902,-1.41855,-0.12971,1,461,21
jump,workload mix (frozen + churning),O3 score-restricted [flat 10% parity band] vs +calib,random forest (300) [both],router (+calibration),accuracy,-0.02245,-0.0812,0.03234,0,461,21
jump,workload mix (frozen + churning),O3 fit-restricted [flat 10% parity band] vs steady,"random forest (300) [both, refit]",router (steady),geomean regret,-0.04849,-0.07913,-0.01829,1,461,21
jump,workload mix (frozen + churning),O3 fit-restricted [flat 10% parity band] vs steady,"random forest (300) [both, refit]",router (steady),worst-case regret,0.30498,-0.61084,1.03551,0,461,21
jump,workload mix (frozen + churning),O3 fit-restricted [flat 10% parity band] vs steady,"random forest (300) [both, refit]",router (steady),accuracy,-0.01463,-0.07631,0.04176,0,461,21
jump,workload mix (frozen + churning),O3 fit-restricted [flat 10% parity band] vs +calib,"random forest (300) [both, refit]",router (+calibration),geomean regret,-0.26132,-0.3508,-0.1899,1,461,21
jump,workload mix (frozen + churning),O3 fit-restricted [flat 10% parity band] vs +calib,"random forest (300) [both, refit]",router (+calibration),worst-case regret,-0.50756,-1.44585,0.45114,0,461,21
jump,workload mix (frozen + churning),O3 fit-restricted [flat 10% parity band] vs +calib,"random forest (300) [both, refit]",router (+calibration),accuracy,-0.01463,-0.07631,0.04176,0,461,21
jump,workload mix (frozen + churning),O3 pre-registered [flat 10% parity band] vs steady,"logistic regression [both, refit]",router (steady),geomean regret,0.07873,0.02083,0.15166,1,461,21
jump,workload mix (frozen + churning),O3 pre-registered [flat 10% parity band] vs steady,"logistic regression [both, refit]",router (steady),worst-case regret,2.40554,1.08097,3.17485,1,461,21
jump,workload mix (frozen + churning),O3 pre-registered [flat 10% parity band] vs steady,"logistic regression [both, refit]",router (steady),accuracy,-0.2144,-0.32292,-0.1009,1,461,21
