rows_per_block,rows_merged,merge,matrix,rho,seed,motion,steps
15255,5013,3.043087971274686,msc10848,0.01,21,drift,400
17073,5166,3.3048780487804876,msc10848,0.05,17,drift,400
14919,4212,3.542022792022792,msc10848,0.05,18,drift,400
14142,3315,4.2660633484162895,msc10848,0.05,19,drift,400
17547,5205,3.3711815561959653,msc10848,0.05,20,drift,400
16200,4881,3.31899200983405,msc10848,0.05,21,drift,400
20601,5994,3.436936936936937,msc10848,0.25,17,drift,400
14541,3633,4.002477291494633,msc10848,0.25,18,drift,400
20997,5202,4.036332179930795,msc10848,0.25,19,drift,400
16221,3933,4.124332570556827,msc10848,0.25,20,drift,400
19395,5187,3.7391555812608446,msc10848,0.25,21,drift,400
12327,3609,3.4156275976724855,msc10848,0.0,17,jump,400
10407,2700,3.8544444444444443,msc10848,0.0,18,jump,400
12117,3738,3.241573033707865,msc10848,0.0,19,jump,400
11886,3195,3.72018779342723,msc10848,0.0,20,jump,400
12993,4146,3.133863965267728,msc10848,0.0,21,jump,400
45615,10407,4.38310752378207,msc10848,0.002,17,jump,400
46422,10410,4.459365994236311,msc10848,0.002,18,jump,400
44502,10356,4.297219003476246,msc10848,0.002,19,jump,400
43236,10437,4.142569703937913,msc10848,0.002,20,jump,400
43185,10296,4.19434731934732,msc10848,0.002,21,jump,400
46248,10569,4.375816065852966,msc10848,0.01,17,jump,400
47463,10638,4.461646926113931,msc10848,0.01,18,jump,400
44703,10599,4.2176620435890175,msc10848,0.01,19,jump,400
45510,10608,4.290158371040724,msc10848,0.01,20,jump,400
47760,10623,4.495905111550409,msc10848,0.01,21,jump,400
46203,10644,4.340755355129651,msc10848,0.05,17,jump,400
48168,10503,4.586118251928021,msc10848,0.05,18,jump,400
44757,10641,4.20608965322808,msc10848,0.05,19,jump,400
46623,10536,4.425113895216401,msc10848,0.05,20,jump,400
45909,10536,4.357346241457859,msc10848,0.05,21,jump,400
47163,10527,4.4801937874038185,msc10848,0.25,17,jump,400
44751,10464,4.276662844036697,msc10848,0.25,18,jump,400
44967,10542,4.265509391007399,msc10848,0.25,19,jump,400
46449,10662,4.3564997186269,msc10848,0.25,20,jump,400
45771,10527,4.347962382445141,msc10848,0.25,21,jump,400
5557,1371,4.053245805981036,ct20stif,0.0,17,drift,400
3050,708,4.307909604519774,ct20stif,0.0,18,drift,400
3944,1065,3.7032863849765256,ct20stif,0.0,19,drift,400
4142,1140,3.6333333333333333,ct20stif,0.0,20,drift,400
4613,1421,3.2463054187192117,ct20stif,0.0,21,drift,400
9347,2424,3.856023102310231,ct20stif,0.002,17,drift,400
3901,879,4.437997724687144,ct20stif,0.002,18,drift,400
6738,1705,3.9519061583577715,ct20stif,0.002,19,drift,400
6645,1616,4.1120049504950495,ct20stif,0.002,20,drift,400
6526,2067,3.157232704402516,ct20stif,0.002,21,drift,400
8553,2718,3.1467991169977925,ct20stif,0.01,17,drift,400
4769,1059,4.503305004721435,ct20stif,0.01,18,drift,400
6948,1758,3.95221843003413,ct20stif,0.01,19,drift,400
6774,2043,3.315712187958884,ct20stif,0.01,20,drift,400
6977,2483,2.809907370116794,ct20stif,0.01,21,drift,400
7193,2138,3.3643592142188963,ct20stif,0.05,17,drift,400
4872,930,5.2387096774193544,ct20stif,0.05,18,drift,400
6206,1668,3.7206235011990407,ct20stif,0.05,19,drift,400
10835,3629,2.985670983742078,ct20stif,0.05,20,drift,400
